קוד פנימי,פריט,שם פריט,מחלקה,שם קבוצה,שם ספק,שם יצרן,שם צבע,מידה,שם יובש,שונות,תאריך הקמה,ת. העברה לארכיון,ת. יציאה מארכיוןמחיר מחירון 1,,יתרת מלאי,נמכר באילת לפי ת.ז,אחריות
3408,7290019369141,קסטל  פטי קסטל 2021,1,יין אדום יבש,קסטל,,אדום,750,יבש,2021,23/05/2022,16/09/2024,,125,,כן,
3830,7290019369165,קסטל  גרן וין 2021,1,יין אדום יבש,קסטל,,אדום,750,יבש,2021,25/07/2024,08/01/2025,,290,,כן,
3884,7290019369233,קסטל  גרן וין 2022,1,יין אדום יבש,קסטל,,אדום,750,יבש,2022,15/10/2024,,,280,4,לא,
3829,7290019369271,קסטל  C בלאן דו קסטל שרדונה 2022,1,יין לבן יבש,קסטל,,לבן,750,יבש,2022,25/07/2024,,,150,1,לא,
2438,7290019369332,קסטל  לה וי אדום 2022,1,יין אדום יבש,קסטל,,אדום,750,יבש,2022,27/12/2017,,28/08/2024,79,,כן,
3618,7290019369486,קסטל  לה וי לבן 2023,1,יין לבן יבש,קסטל,,לבן,750,יבש,2023,05/06/2023,,06/02/2025,79,,כן,
3890,7290019369530,קסטל  C בלאן דו קסטל שרדונה 2023,1,יין לבן יבש,קסטל,,לבן,750,יבש,2023,05/11/2024,,,150,9,כן,
3949,7290019369639,קסטל  לה וי אדום 2023,1,יין אדום יבש,קסטל,,אדום,750,יבש,2023,06/02/2025,,26/05/2025,79,,לא,
4023,7290019369684,קסטל  פטי קסטל 2023,1,יין אדום יבש,קסטל,,אדום,750,יבש,2023,14/05/2025,,,140,,לא,
3828,7290019397236,כמיסה  ETA סוביניון בלאן 2023,1,יין לבן יבש,צ. צור סוכנויות,,לבן,750,יבש,2023,25/07/2024,,,85,32,לא,
4029,7290019397274,כמיסה  גמה מרלו,1,יין אדום יבש,צ. צור סוכנויות,,אדום,750,יבש,,23/05/2025,,,64,,לא,
4030,7290019397298,כמיסה  סיגמה FREE 2021,1,יין אדום יבש,צ. צור סוכנויות,,אדום,750,יבש,2021,23/05/2025,,,120,9,לא,
3650,7290019398042,יתיר  מארז נחל 2020+ דקנטר,1,יין אדום יבש,אגודת הכורמים - כרמל,,,,,,14/08/2023,16/09/2024,,200,,כן,
3669,7290019403012,ירדן  אלוני הבשן קברנה סוביניון 2020,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2020,11/09/2023,,,300,,לא,
1803,7290019403197,ירדן  קצרין 2020,1,יין אדום יבש,רמת הגולן,,אדום,750,יבש,2020,20/05/2015,,02/03/2025,750,2,לא,
2036,7290019403210,ירדן  רום 2021,1,יין אדום יבש,,,אדום,750,יבש,2021,17/03/2016,,02/03/2025,750,6,לא,
3348,7290019403319,ירדן  קברנה סוביניון 2021,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2021,22/02/2022,,02/01/2024,150,,כן,
3532,7290019403340,ירדן  אלוני הבשן מרלו 2021,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2021,05/01/2023,,02/03/2025,240,,לא,
1847,7290019403357,רמת הגולן  קצרין 2021,1,,היכל היין שקד גולן,,אדום,750,יבש,2021,05/08/2015,,12/09/2025,1300,6,לא,
3771,7290019462026,שאטו רמו  קברנה סוביניון רזרב 2019,1,יין אדום יבש,שאטו רמו,,אדום,750,יבש,2019,09/04/2024,11/11/2024,,150,,כן,
3852,7290019462682,שאטו רמו  שרדונה 2023,1,יין לבן יבש,שאטו רמו,,לבן,750,יבש,2023,05/09/2024,,,100,,כן,
3772,7290019462798,שאטו רמו  בלנד חוסן 2020,1,יין אדום יבש,שאטו רמו,,אדום,750,יבש,2020,09/04/2024,,,100,,כן,
