קוד פנימי,פריט,שם פריט,מחלקה,שם קבוצה,שם ספק,שם יצרן,שם צבע,מידה,שם יובש,שונות,תאריך הקמה,ת. העברה לארכיון,ת. יציאה מארכיוןמחיר מחירון 1,,יתרת מלאי,נמכר באילת לפי ת.ז,אחריות
1914,1,כללי,98,,,,,,,,02/11/2015,,20/07/2017,,,לא,
310,2,פקדון,17,,,,,,,,05/02/2014,,,.3,12246,לא,
740,3,פקדון  ארגז בירות,17,,,,,,,,28/01/2015,,,,,לא,
3034,4,טעימה,98,,,,,,,,08/07/2020,,,,623,לא,
2330,23,יינות  G סדרה 1 גוורצטרמינר,1,יין לבן יבש,,,,,,,04/09/2017,12/04/2018,,,,לא,
2148,33,אריזת מתנה,98,,,,,,,,20/09/2016,,,2,1,לא,
2338,38,dancing camel  docs,16,,,,,,,,05/09/2017,26/06/2018,,,,לא,
2375,88,מזקקת רמת הגולן  ערק זהב,14,,,,,,,,02/10/2017,25/02/2020,,95,,לא,
2486,101,TITORA  Merlo 2016,1,יין אדום יבש,,,,,,,10/02/2018,26/06/2018,,,,לא,
2487,102,TITORA  Cabernet Sauvignon 2016,1,יין אדום יבש,,,,,,,10/02/2018,26/06/2018,,,,לא,
2444,111,הר אדר  קברנה,1,יין אדום יבש,,,,,,,01/01/2018,02/07/2019,,,,לא,
2542,114,טורא  שמן זית 5 ליטר,7,,,,,,,,08/04/2018,07/02/2019,,,,לא,
2476,131,שירן  החזן 13,1,יין אדום יבש,,,,,,,10/02/2018,07/02/2019,,,,לא,
2331,233,יינות  G סדרה 1 שרדונה,1,יין לבן יבש,,,,,,,04/09/2017,12/04/2018,,,,לא,
2329,234,אייל  סול קברנה סוביניון,1,יין אדום יבש,,,,,,,04/09/2017,07/02/2019,,,,לא,
2485,389,יזרעאל  רוזה 17,1,יין רוזה,,,,,,,10/02/2018,07/02/2019,,,,לא,
642,500,כרטיס מתנה,18,,,,,,,,02/11/2014,,,,2,לא,
643,501,מימוש כרטיס מתנה,18,,,,,,,,02/11/2014,,,,,לא,
2367,729,יקב רוטה  עדי,1,יין אדום יבש,,,,,,,02/10/2017,04/11/2019,,,,לא,
346,777,כרטיס מוזל לתערוכה 2016,18,,פיופ,,,,,,11/02/2014,26/06/2018,,80,,לא,
2803,789,מארז משלוח מנות,18,,,,,,,,20/03/2019,,,190,30,לא,
347,888,כרטיס מוזל לתערוכה 2014 - 68₪,18,,פיופ,,,,,,11/02/2014,06/03/2016,,68,,לא,
2216,999,הרצברג  וילז',1,יין אדום יבש,ב.ד.ס.פ. - הרצברג,,אדום,750,יבש,,16/02/2017,08/10/2019,,79,,לא,
2,1000,רוטה  נטע,1,יין אדום יבש,רוטה,,אדום,750,יבש,2011,20/01/2014,18/07/2017,,85,,לא,
3,1001,רוטה  נחל רביבים,1,יין אדום יבש,רוטה,,אדום,750,יבש,2010,20/01/2014,18/07/2017,,75,,לא,
4,1002,רוטה  נעמה,1,יין אדום יבש,רוטה,,אדום,750,יבש,2011,20/01/2014,18/07/2017,,85,,לא,
16,1014,עדן  Wild Red 2008,1,יין אדום יבש,עדן,,אדום,750,יבש,2008,20/01/2014,18/07/2017,,90,,לא,
17,1015,Johannisberg Riesing קטמון 2010,1,יין לבן יבש,קטמון,,לבן,750,,,20/01/2014,31/10/2016,,88,,לא,
18,1016,Red Blend קטמון 2009,1,יין לבן יבש,קטמון,,לבן,750,,,20/01/2014,30/04/2017,,88,,לא,
27,1025,עמוס בלנד 2011,1,יין אדום,עמוס,,אדום,750,,,20/01/2014,27/12/2015,,70,,לא,
28,1026,עמוס בלנד 2012,1,יין אדום,עמוס,,אדום,750,,,20/01/2014,27/11/2016,,46,,לא,
29,1027,עמוס  קברנה סוביניון 2011,1,יין אדום,עמוס,,אדום,750,,,20/01/2014,07/02/2019,,95,,לא,
30,1028,עמוס  מרלו 2011,1,יין אדום,עמוס,,אדום,750,,,20/01/2014,12/07/2016,,70,,לא,
2110,1030,עמוס  דו מולין 13,1,יין אדום יבש,עמוס,,אדום,750,יבש,2013,07/07/2016,07/02/2019,,67,,לא,
2111,1031,עמוס  או שאטו 13,1,יין אדום יבש,עמוס,,אדום,750,יבש,2013,07/07/2016,07/02/2019,,75,,לא,
2112,1032,עמוס  מלבק,1,יין אדום יבש,עמוס,,אדום,750,יבש,2013,07/07/2016,07/02/2019,,89,,לא,
38,1036,ונחוצקר  קברנה סוביניון 2008,1,יין אדום,ונחוצקר,,,,,,20/01/2014,27/12/2014,,79,,לא,
39,1037,ונחוצקר  מרלו 2007,1,יין אדום,ונחוצקר,,,,,,20/01/2014,27/12/2014,,79,,לא,
40,1038,ונחוצקר  שיראז 2008,1,יין אדום,ונחוצקר,,,,,,20/01/2014,27/12/2014,,79,,לא,
2273,1111,קשת  מיץ רימונים,3,,קורקי (ג.א.א.) בע"מ,,,,,,28/05/2017,18/07/2017,,,,לא,
437,1131,שיכר פסיפלורה 200 מ"ל,3,,שי פישביין - איש הפסיפלורה,,,,,,04/03/2014,26/06/2018,,50,,לא,
2627,1216,שירן  סופרן 16,1,יין אדום יבש,,,,,,,12/09/2018,23/07/2019,,,,לא,
2655,1224,אלפא אומגה  המוסקיטר הזקן,1,יין קינוח,,,,,,,07/10/2018,04/11/2019,,,,לא,
2650,1231,אלפא אומגה  שנין כתום 2017,1,יין לבן יבש,,,,,,,07/10/2018,04/11/2019,,,,לא,
2651,1232,אלפא אומגה  צייד שקט 2017,1,יין לבן יבש,,,,,,,07/10/2018,04/11/2019,,,,לא,
2652,1233,אלפא אומגה  אלפא אומגה 2016,1,יין אדום יבש,,,,,,,07/10/2018,04/11/2019,,,,לא,
2653,1234,אלפא אומגה  עין סערה 2016,1,יין אדום יבש,,,,,,,07/10/2018,04/11/2019,,,,לא,
2654,1236,אלפא אומגה  שנין כתום 2017,1,יין לבן יבש,,,,,,,07/10/2018,04/11/2019,,,,לא,
2477,1311,שירן  המנצח 13,1,יין אדום יבש,,,,,,,10/02/2018,07/02/2019,,,,לא,
2482,1321,יוליוס ברנדי VIII,14,,,,,,,,10/02/2018,21/01/2024,,380,,לא,
2646,1406,לבני  שיראז שני 2014,1,יין אדום יבש,,,,,,,07/10/2018,07/07/2019,,,,לא,
2479,1412,רידל  מפלשת,5,,,,,,,,10/02/2018,07/06/2020,,,,לא,
2591,1806,הרצל  מקסיקו 70 מהדורה מיוחדת,16,,,,,,,,01/07/2018,22/01/2019,,,,לא,
2368,1998,קנטינה  מייבש דקנטר,5,,,,,,,,02/10/2017,07/02/2019,,,,לא,
2596,2006,BUSTERS  Cran Lemonade,16,,,,,,,,03/07/2018,26/03/2019,,,,לא,
2711,2014,פלם  נובל 2014,1,יין אדום יבש,,,,,,,30/12/2018,02/02/2024,,,,לא,
2781,2016,red wine MARIUS Cabernet Sausuvignon 2016,1,יין אדום יבש,,,,,,,06/03/2019,26/03/2019,,,,לא,
3979,2258,קלו לוו 2019,1,יין אדום יבש,גשם הפצה,,אדום,750,יבש,2019,02/03/2025,04/03/2025,,230,,לא,
2335,2804,מיה לוצ'ה רוסו 2009,1,יין אדום יבש,,,,,,,05/09/2017,08/02/2019,,,,לא,
2336,2805,מיה לוצ'ה ביאנקו 2011,1,יין לבן יבש,,,,,,,05/09/2017,26/03/2019,,,,לא,
2359,3333,רמות נפתלי  דואט מגנום,1,יין אדום יבש,,,,,,,02/10/2017,10/01/2019,,,,לא,
2478,6001,קנטינה  מרקקה שחורה מכסה בורדו,5,,,,,,,,10/02/2018,04/11/2019,,,,לא,
2580,8817,בנימינה  יוגב קברנה סוביניון שיראז 2016,1,יין אדום יבש,,,,,,,12/06/2018,07/07/2019,,,,לא,
2785,9176,שדה כלב  קברנה סוביניון 2014,1,יין אדום יבש,,,,,,,06/03/2019,07/07/2019,,,,לא,
2432,9999,רקנאטי  קרינאן רזרב מגנום 2013,1,יין אדום יבש,,,,,,,24/12/2017,25/11/2024,,320,,לא,
548,10097,הרא"ה  קברנה סוביניון,1,יין אדום,הרא"ה - אהוד קווה,,,,,,27/04/2014,27/12/2014,,,,לא,
547,10098,הרא"ה  פטי ורדו,1,יין אדום,הרא"ה - אהוד קווה,,אדום,750,,,27/04/2014,30/06/2019,,110,,לא,
759,10141,שיכר פסיפלורה 100 מ"ל,3,,שי פישביין - איש הפסיפלורה,,,100,,,27/02/2015,26/06/2018,,23,,לא,
2684,10818,גת שומרון  ויונייה,1,יין לבן יבש,,,,,,,17/11/2018,02/02/2024,,,,לא,
458,11124,ונטורה מרלו,1,יין אדום,גשם הפצה,,,,,,07/03/2014,12/07/2016,,85,,לא,
594,11126,ונטורה ארונס 07,1,יין אדום,גשם הפצה,,,,,,30/07/2014,12/07/2016,,85,,לא,
2316,13472,דארפיה  שמפניה קארט ד'ור,1,יין לבן יבש,,,,,,,07/08/2017,07/07/2019,,,,לא,
2390,26958,גבעות  מארז מצדה,1,יין אדום יבש,,,,,,,07/11/2017,17/01/2019,,,,לא,
2647,26962,גבעות  מארז דקורטיבי 2 בקבוקים,1,יין אדום יבש,,,,,,,07/10/2018,17/01/2019,,,,לא,
2585,88443,רמת נגב  מלבק רמון,1,יין אדום יבש,,,,,,,17/06/2018,07/07/2019,,,,לא,
2308,97412,ירושלים  מארז יינות שחור שני בקבוקים,1,,,,,,,,19/07/2017,07/02/2019,,,,לא,
500,100589,מקרר יין 28 בק',5,,פיופ,,,,,,01/04/2014,11/11/2024,,950,,לא,
2723,108737,לאדייג 10 שנים,14,,,,,,,,03/01/2019,07/06/2020,,,,לא,
414,110232,בוסתן  מרלו 07,1,יין אדום,בוסתן,,,,,,01/03/2014,07/06/2020,,155,,לא,
415,110233,בוסתן  קברנה סוביניון 07,1,יין אדום,בוסתן,,,,,,01/03/2014,18/07/2017,,155,,לא,
1827,110234,בוסתן  סירה 09,1,יין אדום יבש,בוסתן,,אדום,750,יבש,,14/06/2015,07/06/2020,,155,,לא,
1882,111125,בת שלמה  Betty's Cuvee,1,יין אדום יבש,בת שלמה,,אדום,750,יבש,2015,17/09/2015,01/01/2020,25/02/2018,170,,לא,
1900,111126,בת שלמה  Vintners Barrel,1,יין אדום יבש,בת שלמה,,אדום,750,יבש,2012,07/10/2015,18/07/2017,,350,,לא,
424,111223,לביא 250 מ"ל אוכמניות,3,,שיי"ן שיווק,,,,,,02/03/2014,17/03/2019,,36,,לא,
425,111224,לביא 250 מ"ל שקדים,3,,שיי"ן שיווק,,,,,,02/03/2014,18/07/2017,,36,,לא,
2497,113310,HAUSER  פס פרלינים,12,,מומנטום,,,,,,19/02/2018,,03/09/2025,55,9,לא,
469,113311,Hauser - קופסאת זהב גדולה,12,,מומנטום,,,,,,11/03/2014,18/09/2019,,120,,לא,
471,113312,Hauser - לב קטן,12,,מומנטום,,,,,,11/03/2014,,03/09/2025,55,4,לא,
472,113314,Hauser - מומנטום קטן,12,,מומנטום,,,,,,11/03/2014,18/09/2019,,30,,לא,
473,113315,Hauser - מומנטום גדול,12,,מומנטום,,,,,,11/03/2014,18/09/2019,,60,,לא,
1794,113316,Hauser - לב גדול,12,,מומנטום,,,,,,19/05/2015,,03/09/2025,110,1,לא,
1814,120022,בן זמרה  קברנה סוביניון,1,יין אדום יבש,אלרן יין,,אדום,750,יבש,2012,01/06/2015,12/07/2016,,110,,לא,
3696,121212,שקית בד - 3 יינות,18,,,,,,,,15/01/2024,,,15,297,לא,
450,123122,סן מיגל 250,16,,החברה המרכזית להפצת משקאות,,,,,,06/03/2014,25/10/2015,,7,,לא,
2699,123123,לנדסמן  פינו נואר,1,יין אדום,יקב קובננט ישראל,,אדום,750,,,20/12/2018,19/12/2019,,160,,לא,
2700,123124,לנדסמן  זינפנדל,1,יין אדום,יקב קובננט ישראל,,אדום,750,,,20/12/2018,07/06/2020,,160,,לא,
1862,123456,מארז מתנה שלישייה,18,,,,,,,,04/09/2015,,,20,,לא,
3494,123469,הרא"ה  קברנה מרסלן,1,יין אדום יבש,הרא"ה - אהוד קווה,,אדום,750,יבש,2021,07/11/2022,16/09/2024,,120,,כן,
494,123543,לבני  ילתא 5L,1,יין אדום,לבני - חברונית בע"מ,,,,,,31/03/2014,22/03/2016,,720,,לא,
1829,123564,דקנטר 1000 מ"ל,5,,די.סי פאק בע"מ,,,,,,18/06/2015,11/11/2024,,180,,לא,
533,132131,עמוס - ליקר דובדבנים,3,,עמוס,,,,,,14/04/2014,12/07/2016,,90,,לא,
2092,215457,רשתות לבקבוקים,5,,,,,,,,02/06/2016,26/03/2019,,,,לא,
289,222222,עמק האלה  רוזה EVERED,1,יין רוזה,עמק האלה,,,,,,20/01/2014,11/03/2015,,57,,לא,
3503,234231,בירה - כללי,16,בירה 330,,,,,,,10/11/2022,,,14,89,לא,
3501,234232,האטץ' BILLOW Hatch,16,בירה 330,,,,,,,10/11/2022,21/01/2024,,14,,לא,
3500,234233,האטץ' בירה צ'אי Hatch,16,בירה 330,,,,,,,10/11/2022,21/01/2024,,14,,לא,
3302,234234,האטץ' Hatch  Pacific Ale,16,בירה 330,,,,,,,19/12/2021,21/01/2024,,14,,לא,
3303,234235,האטץ' Hatch  Fanatical Stout,16,בירה 330,,,,,,,19/12/2021,21/01/2024,,14,,לא,
3304,234236,האטץ' Hatch  IPA,16,בירה 330,,,,,,,19/12/2021,21/01/2024,,14,,לא,
3305,234237,האטץ' Hatch  בירה לא בירה,16,בירה 330,,,,,,,19/12/2021,21/01/2024,,14,,לא,
3306,234238,האטץ' Hatch  Balance,16,בירה 330,,,,,,,19/12/2021,21/01/2024,,14,,לא,
3307,234239,האטץ' Hatch  Shades of Brown,16,בירה 330,,,,,,,19/12/2021,21/01/2024,,20,,לא,
4061,245451,מזקקת ערבה ערק,14,,מזקקת ערבה,,,99999,,,10/09/2025,,,110,9,לא,
4062,245452,מזקקת ערבה ליקריץ,14,,מזקקת ערבה,,,99999,,,10/09/2025,,,110,3,לא,
4063,245453,מזקקת ערבה או דה וי,14,,מזקקת ערבה,,,99999,,,10/09/2025,,,110,10,לא,
4064,245454,מזקקת ערבה ג'ין,14,,מזקקת ערבה,,,99999,,,10/09/2025,,,130,21,לא,
3535,258009,לאטור בלנש  סוטרן מגנום Latour Blanche Sauternes 2014,1,יין לבן יבש,גשם הפצה,,לבן,1500,יבש,2014,11/01/2023,,,1100,6,לא,
3417,321321,החלוץ  שייפא חאלא,16,בירה 330,,,,,,,15/06/2022,21/01/2024,,14,,לא,
3521,321322,החלוץ  בירה ועם הארץ,16,בירה 330,,,,,,,09/12/2022,21/01/2024,,14,,לא,
3419,321323,החלוץ  Bill the Bastard,16,בירה 330,,,,,,,15/06/2022,21/01/2024,,14,,לא,
3420,321324,החלוץ  שוער הלילה,16,בירה 330,,,,,,,15/06/2022,21/01/2024,,25,,לא,
3421,321325,החלוץ  פרוייקט 27,16,בירה 330,,,,,,,15/06/2022,21/01/2024,,30,,לא,
715,321645,ונטורה ISAACS,1,יין אדום יבש,גשם הפצה,,אדום,750,יבש,,01/01/2015,18/07/2017,,250,,לא,
708,321662,ירדן  מרלו קלע 2008,1,יין אדום,רמת הגולן,,אדום,750,,,31/12/2014,12/07/2016,,145,,לא,
709,321663,ירדן  סירה אביטל 07,1,יין אדום,רמת הגולן,,אדום,750,,,31/12/2014,12/07/2016,,155,,לא,
710,321665,מוני  רזרב שרדונה,1,יין לבן יבש,,,לבן,750,,,31/12/2014,30/11/2015,,90,,לא,
707,321666,ירדן  סירה יונתן 07,1,יין אדום,,,אדום,750,,,31/12/2014,12/07/2016,,169,,לא,
3622,345347,נבו  קברנה סוביניון 2019,1,יין אדום יבש,נבו,,אדום,750,יבש,2019,13/06/2023,11/11/2024,,180,,לא,
3623,345348,נבו  פטי ורדו 2019,1,יין אדום יבש,נבו,,אדום,750,יבש,2019,13/06/2023,11/11/2024,,160,,לא,
3624,345349,נבו  רוזה 2021,1,יין רוזה,נבו,,רוזה,750,יבש,2021,13/06/2023,16/09/2024,,99,,לא,
3679,345876,יקב פורה  שנין בלאן,1,יין לבן יבש,לה פורה יקב בוטיק,,לבן,750,יבש,,07/11/2023,16/09/2024,,90,,לא,
2807,346578,ערק שליט,14,,,,,,,,24/03/2019,07/11/2019,,55,,לא,
2821,354343,אחיה  פח שמן זית 750 מ"ל,7,,,,,,,,16/04/2019,12/07/2022,,,,לא,
2160,410002,וינטורי רזרב מחדר יין,5,,,,,,,,05/10/2016,18/07/2017,,,,לא,
1833,645312,מקרר ין 12 בק',5,,לנדרס טרידינג,,,,,,28/06/2015,21/01/2024,,690,,לא,
3336,654645,יוליוס  האדום והשחור,3,,,,,,,,11/02/2022,15/02/2024,,140,,לא,
3542,667100,בונה-פונסו  שמפניה אקסטרא ברוט Bonnet-Ponson Extra Brut,1,יין לבן יבש,גשם הפצה,,לבן,750,,NV,08/02/2023,,,255,3,כן,
2291,729111,קפסנס  פרח פטיט רוזה,1,יין רוזה,,,,,,,04/07/2017,07/07/2019,,,,לא,
2283,729222,FANNY  ROSE 2016 750,1,יין רוזה,,,,,,,14/06/2017,08/02/2019,,,,לא,
3836,888888,עגור  לים לבן 2023,1,יין לבן יבש,עגור,,לבן,750,יבש,2023,31/07/2024,31/07/2024,,120,,לא,
2406,888968,המערה  גפנים בוגרות 2010,1,יין אדום יבש,,,,,,,12/11/2017,07/07/2019,,,,לא,
317,999000,עמק האלה  VC  קברנה סוביניון 2007,1,יין אדום יבש,עמק האלה,,אדום,750,יבש,2007,09/02/2014,22/11/2018,,220,,לא,
318,999001,עמק האלה  VC  שרדונה 2007,1,יין אדום יבש,עמק האלה,,,,,,09/02/2014,08/09/2014,,,,לא,
319,999002,CS Reserve ברקן  2010,1,יין אדום יבש,טמפו,,,,,,09/02/2014,09/09/2014,,,,לא,
323,999006,Special Reserve עגור  2009,1,יין אדום יבש,עגור,,,,,,09/02/2014,09/09/2014,,,,לא,
327,999010,תשבי  ספישל רזרב 04,1,יין אדום,תשבי,,,,,,09/02/2014,30/04/2017,,210,,לא,
2405,999019,המערה  2010,1,יין אדום יבש,,,,,,,12/11/2017,07/07/2019,,,,לא,
312,1000097,תאשור  יין הארץ,16,יין אדום,ארזה,,,,,,09/02/2014,07/01/2016,,36,,לא,
389,1000131,אבוהב ערבוביא,1,יין אדום יבש,יקב אבוהב,,אדום,750,יבש,2011,25/02/2014,14/07/2016,,140,,לא,
574,1132112,מורלי - אלברטו,1,יין אדום,מ. מורדכי,,,,,,06/06/2014,12/07/2016,,82,,לא,
2730,1180003,כרמל  תירוש לבן 1 ל',10,,,,,,,,19/01/2019,04/01/2021,,,,לא,
1809,1231564,משלוח,99,,,,,,,,31/05/2015,,,40,56,לא,
621,1232121,דבש ידיות - נופת צופים,18,,יקב כרמי יוסף - ברבדו,,,,,,16/09/2014,29/06/2023,,16,,לא,
309,1235463,הרא"ה  פטי סירה פטי ורדו,1,יין אדום יבש,הרא"ה - אהוד קווה,,אדום,750,יבש,2016,05/02/2014,30/01/2022,31/07/2020,125,,כן,
1898,1235464,הרא"ה  נחל אלכסנדר,1,יין אדום יבש,הרא"ה - אהוד קווה,,אדום,750,יבש,2014,02/10/2015,25/02/2020,,79,,לא,
2857,1235465,הרא"ה  מרלו - פטי סירה,1,יין אדום יבש,הרא"ה - אהוד קווה,,אדום,750,יבש,2016,30/06/2019,03/05/2021,,125,,לא,
3162,1235467,הרא"ה  מרסלן,1,יין אדום יבש,הרא"ה - אהוד קווה,,אדום,750,יבש,2019,21/03/2021,12/07/2022,18/05/2025,140,,כן,
3330,1235468,הרא"ה יין כתום,1,יין לבן יבש,הרא"ה - אהוד קווה,,,750,יבש,2021,03/02/2022,30/11/2023,,105,,כן,
2491,1324564,יעקב אוריה  חלום באספמיה רזרבה,1,יין אדום יבש,,,אדום,750,יבש,2011,14/02/2018,14/05/2019,,200,,לא,
2492,1324565,יעקב אוריה  חלום באספמיה גרן רזרבה,1,יין אדום יבש,,,אדום,750,יבש,2011,14/02/2018,14/05/2019,,200,,לא,
2493,1324566,יעקב אוריה  עמק הציידים 09,1,יין אדום יבש,,,אדום,750,יבש,2009,14/02/2018,14/05/2019,,180,,לא,
2549,2008828,גליל  מארז מרלו וקברנה עליון2017+כוסות,1,יין אדום יבש,,,,,,,29/04/2018,30/10/2018,,,,לא,
2100,2514584,מזקקת רמת הגולן  ערק ירוק,14,,,,,99999,,,09/06/2016,25/02/2020,,85,,לא,
665,3007519,Ardbeg Uigeadail,14,ויסקי,תימקו בירה בע"מ,,,,,,07/12/2014,18/09/2019,,380,,לא,
3257,3135131,קוונטרו מיני COINTREAU,14,,,,,,,,15/09/2021,,,18,,לא,
2231,3155515,מצודה  סטף מרלו,1,יין אדום יבש,מצודה,,אדום,750,יבש,2013,19/03/2017,13/03/2019,,100,,לא,
2023,3200607,דיקנטר זווית,5,,,,,,,,03/03/2016,08/01/2025,,50,,לא,
700,3211231,קמפרי,14,,,,,,,,31/12/2014,24/11/2015,,130,,לא,
704,3216545,רמת חברון  ארמגדון 07,1,יין אדום,,,אדום,750,,,31/12/2014,18/07/2017,,360,,לא,
2796,3434347,הולנדר  פינק ליידי,3,,הולנדר,,,500,,,18/03/2019,15/02/2024,,80,,לא,
2797,3434348,הולנדר  קוקוס ודלעת,3,,הולנדר,,,500,,,18/03/2019,15/02/2024,,80,,לא,
2847,3434350,הולנדר  שנאפס תפוחים קינמון,14,,הולנדר,,,500,,,31/05/2019,28/05/2024,,130,,לא,
2871,3434351,הולנדר  או דה וי ענבים,14,,הולנדר,,,500,,,01/09/2019,,,160,4,לא,
3530,3454564,יקב פורה  כרם בן עיון 2021,1,יין אדום יבש,לה פורה יקב בוטיק,,אדום,750,יבש,2021,30/12/2022,11/11/2024,,110,,כן,
2806,3547658,ירושלים  קריניאן ליטר,1,יין אדום יבש,,,,,,,24/03/2019,07/07/2019,,20,,לא,
4080,4006159,סופרנובה כוס דגם מדריד 600 מ"ל,,,,,,,,,25/09/2025,,,18,30,לא,
4082,4006345,SUPENOVA כוס בילבאו,,,,,,,,,26/09/2025,,,,48,לא,
2287,4202805,dancing camel  GBB,16,,,,,,,,21/06/2017,18/03/2019,,,,לא,
2689,4528751,אדיר  פלאטו 2015,1,יין אדום יבש,,,,,,,17/11/2018,18/03/2019,,,,לא,
2140,5343516,אדיר  יין עשור,1,יין אדום יבש,שיי"ן שיווק,,אדום,750,יבש,2013,14/09/2016,02/02/2022,,350,,לא,
1920,5678910,ג'וזף מיו  פולי פומה,1,יין לבן יבש,בכחוס - אורי ברוך,,לבן,750,יבש,2012,05/11/2015,18/03/2019,,160,,לא,
666,6123354,טורא  שמן זית 5L,7,,טורא,,,,,,07/12/2014,12/07/2016,,190,,לא,
3074,6454646,יקב דור  עין שמאי,1,יין אדום יבש,,,,,,,25/09/2020,12/07/2022,,95,,לא,
2031,6546489,מזקקת רמת הגולן  ערק,14,ויסקי,מזקקת רמת הגולן,,,750,,,13/03/2016,14/07/2016,,140,,לא,
4005,6546543,ארי ארל  ביתוני רוזה 2024,1,יין רוזה,ארי ארל,,רוזה,750,יבש,2024,03/04/2025,,,110,,לא,
4006,6546544,ארי ארל  דבוקי כתום 2024,1,יין לבן יבש,,,לבן,750,יבש,2024,03/04/2025,,,125,,לא,
4000,6546546,אדרת  סירה מינה 2023,1,יין אדום יבש,אדרת,,אדום,750,יבש,2023,30/03/2025,,,120,7,לא,
4001,6546547,אדרת  אבונה 2023,1,יין אדום יבש,אדרת,,אדום,750,יבש,2023,30/03/2025,,,130,22,לא,
4031,6546548,אדרת  סירה סמק רוזה 2023,1,יין רוזה,אדרת,,רוזה,750,יבש,2023,08/06/2025,,,120,3,לא,
2379,6546864,Smith Haute Lafitte 1997,1,,,,,,,,03/10/2017,08/05/2024,,,,לא,
2366,7290000,יקב רוטה  נעמה,1,יין אדום יבש,,,,,,,02/10/2017,07/07/2019,,,,לא,
2288,8870000,LE'ELIXIR  ROSE 2016 750,1,יין רוזה,,,,,,,27/06/2017,18/07/2017,,,,לא,
3774,9999999,שאטו רמו  גרנד בלנד 375 2019,1,יין אדום יבש,שאטו רמו,,אדום,375,יבש,2019,10/04/2024,10/04/2024,,110,,לא,
616,11112321,ונטורה שיראז 07,1,יין אדום,גשם הפצה,,,,,,16/09/2014,12/07/2016,,85,,לא,
688,11132123,ירדן  סירה אביטל 2008,1,יין אדום יבש,רמת הגולן,,אדום,750,יבש,,28/12/2014,12/07/2016,,75,,לא,
2971,12345612,Winebox - קדש,18,,,,,,,,26/03/2020,23/03/2022,,350,,לא,
2972,12345613,Winebox - אביב,18,,,,,,,,26/03/2020,13/04/2021,,450,,לא,
2973,12345614,Winebox - הלל,18,,,,,,,,26/03/2020,23/03/2022,,650,,לא,
611,13213541,תמיר  שומרה,1,יין אדום,מזרח ומערב יבוא ושיווק,,,,,,11/09/2014,07/07/2019,,129,,לא,
2567,13213542,תמיר  חותם,1,יין אדום,מזרח ומערב יבוא ושיווק,,,,,,05/06/2018,07/07/2019,,150,,לא,
701,32132131,כרמל ברנדי 120,14,,אגודת הכורמים - כרמל,,,750,,,31/12/2014,06/03/2024,,720,,לא,
699,32135456,Branca Menta,14,,ישרקו,,,750,,,31/12/2014,18/07/2017,,160,,לא,
3432,32165432,יעקב אוריה  תהו ובהו,1,יין לבן יבש,ירוחם אגרו -תעשיות,,לבן,750,יבש,2020,29/07/2022,11/11/2024,,260,,כן,
589,32365656,טעימת יין,99,,,,,,,,07/07/2014,,,600,,לא,
3932,32416542,לנקלו ד'אולביה 2022,1,יין אדום יבש,שקמה,,אדום,750,יבש,2022,23/12/2024,,,190,21,לא,
3900,32416544,לנקלו ד'אולביה 2020,1,יין אדום יבש,שקמה,,אדום,750,יבש,2020,18/11/2024,,,190,34,לא,
3217,34534501,בת שלמה  Jodi's Summer Blend,1,יין רוזה,בת שלמה,,רוזה,750,יבש,2020,05/08/2021,23/03/2022,,80,,כן,
2043,34534513,זמרת הכרם  פטי ורדו,1,יין אדום יבש,גוש עציון,,אדום,750,יבש,2014,22/03/2016,14/10/2020,,95,,לא,
2854,34534531,יעקב אוריה  הצייד השקט 2020,1,יין לבן יבש,ירוחם אגרו -תעשיות,,לבן,750,יבש,2020,27/06/2019,,,155,3,כן,
2745,34534533,יעקב אוריה  עין הסערה,1,יין אדום יבש,,,אדום,750,יבש,2017,05/02/2019,12/07/2022,13/05/2021,125,,כן,
2824,34534534,יעקב אוריה  מוסקיטר קינוח,1,יין קינוח,,,,,,,17/04/2019,07/12/2022,,280,,כן,
2836,34534535,יעקב אוריה  אסופת התבלין,1,יין לבן יבש,אלפא אומגה תרבות יין בע"מ,,לבן,750,יבש,2018,14/05/2019,30/01/2022,,145,,כן,
2837,34534536,יעקב אוריה  האסופה הראשונה,1,יין לבן יבש,אלפא אומגה תרבות יין בע"מ,,לבן,750,יבש,2018,14/05/2019,12/06/2022,,145,,כן,
3055,34534540,יעקב אוריה  SOB,1,יין לבן יבש,אלפא אומגה תרבות יין בע"מ,,לבן,750,יבש,2018,19/08/2020,09/02/2022,,125,,לא,
3252,34534541,יעקב אוריה  מלכת הלבבות,1,יין לבן יבש,אלפא אומגה תרבות יין בע"מ,,לבן,750,יבש,2020,14/09/2021,30/11/2023,,110,,כן,
3253,34534542,יעקב אוריה  באתי להרים,1,יין לבן יבש,אלפא אומגה תרבות יין בע"מ,,לבן,750,יבש,2020,14/09/2021,12/06/2022,,100,,לא,
3510,34534545,יעקב אוריה  אסופת התקווה,1,יין לבן יבש,ירוחם אגרו -תעשיות,,לבן,750,יבש,2020,07/12/2022,30/11/2023,,155,,כן,
3324,34534549,יעקב אוריה  אלפא אומגה ויונייה יבש,1,יין לבן יבש,ירוחם אגרו -תעשיות,,לבן,750,יבש,2019,06/01/2022,11/11/2024,,135,,כן,
